generation,meanFitness,bestFitness,diversity
0,0.17271111111111095,0.27555555555555555,0.997142857142857
10,0.19706666666666664,0.3111111111111111,0.9970238095238096
20,0.1967111111111111,0.3466666666666667,0.9966666666666665
30,0.19119999999999993,0.37333333333333335,0.9904761904761903
40,0.1967111111111111,0.3288888888888889,0.9967857142857142
50,0.19471111111111114,0.3022222222222222,0.9988095238095237
60,0.19455555555555556,0.35555555555555557,0.9966666666666665
70,0.1967333333333335,0.32,0.9966666666666665
80,0.20375555555555558,0.32,0.9967857142857144
90,0.19275555555555557,0.3466666666666667,0.9967857142857142
100,0.195111111111111,0.39111111111111113,0.9963095238095235
110,0.19773333333333348,0.3377777777777778,0.997738095238095
120,0.19502222222222215,0.32,0.9985714285714284
130,0.1917777777777778,0.36444444444444446,0.9977380952380951
140,0.19528888888888887,0.35555555555555557,0.9966666666666665
150,0.19522222222222207,0.36444444444444446,0.9982142857142856
160,0.18571111111111135,0.32,0.9969047619047618
170,0.20366666666666672,0.36444444444444446,0.9979761904761905
180,0.20051111111111117,0.3377777777777778,0.9948809523809523
190,0.19006666666666677,0.32,0.9952380952380953
200,0.1998444444444442,0.32,0.9979761904761905
210,0.18779999999999994,0.3377777777777778,0.9973809523809523
220,0.19675555555555538,0.3111111111111111,0.9921428571428571
230,0.1916666666666666,0.32,0.9964285714285712
240,0.19715555555555564,0.3377777777777778,0.996547619047619
250,0.1980888888888887,0.3377777777777778,0.9928571428571429
260,0.2010444444444445,0.35555555555555557,0.9960714285714287
270,0.1991333333333334,0.37333333333333335,0.996547619047619
280,0.20362222222222248,0.32,0.9972619047619048
290,0.201088888888889,0.3377777777777778,0.9960714285714285
300,0.19437777777777754,0.3377777777777778,0.9978571428571428
310,0.198288888888889,0.3466666666666667,0.9980952380952381
320,0.19866666666666657,0.3288888888888889,0.9976190476190474
330,0.1968222222222224,0.37333333333333335,0.9982142857142854
340,0.1973999999999999,0.3377777777777778,0.9947619047619047
350,0.18986666666666657,0.3022222222222222,0.9973809523809523
360,0.1957333333333331,0.3288888888888889,0.9979761904761905
370,0.1956,0.36444444444444446,0.996547619047619
380,0.21757777777777787,0.37333333333333335,0.9810714285714285
390,0.20073333333333335,0.3288888888888889,0.9911904761904762
400,0.19691111111111084,0.36444444444444446,0.9967857142857142
410,0.20702222222222225,0.35555555555555557,0.9971428571428571
420,0.19311111111111098,0.3111111111111111,0.9960714285714285
430,0.19311111111111118,0.3288888888888889,0.9971428571428571
440,0.19753333333333348,0.3288888888888889,0.9972619047619048
450,0.19153333333333325,0.3111111111111111,0.9979761904761902
460,0.19299999999999978,0.32,0.9977380952380951
470,0.20142222222222242,0.36444444444444446,0.9972619047619047
480,0.19177777777777777,0.32,0.9951190476190476
490,0.19542222222222222,0.3288888888888889,0.9980952380952381
500,0.2006666666666667,0.3466666666666667,0.9960714285714285
