generation,meanFitness,bestFitness,diversity
0,0.1752888888888888,0.28444444444444444,0.9972619047619048
10,0.19506666666666653,0.29333333333333333,0.9965476190476192
20,0.1924444444444446,0.3288888888888889,0.9978571428571428
30,0.19406666666666678,0.32,0.9979761904761902
40,0.19408888888888878,0.32,0.9974999999999999
50,0.19259999999999988,0.3022222222222222,0.9984523809523808
60,0.20040000000000022,0.35555555555555557,0.9985714285714284
70,0.2015111111111113,0.3111111111111111,0.9980952380952377
80,0.2010222222222222,0.3288888888888889,0.9970238095238096
90,0.2063111111111113,0.3466666666666667,0.9978571428571428
100,0.1992666666666667,0.36444444444444446,0.9977380952380951
110,0.20186666666666667,0.39111111111111113,0.9967857142857144
120,0.19915555555555545,0.35555555555555557,0.9964285714285716
130,0.19506666666666683,0.3377777777777778,0.9969047619047618
140,0.19473333333333342,0.32,0.9972619047619048
150,0.19733333333333342,0.3111111111111111,0.9974999999999998
160,0.19906666666666645,0.35555555555555557,0.9795238095238095
170,0.20640000000000036,0.39111111111111113,0.9976190476190474
180,0.20502222222222227,0.35555555555555557,0.9985714285714284
190,0.20479999999999998,0.36444444444444446,0.9970238095238095
200,0.2092888888888889,0.3377777777777778,0.9953571428571427
210,0.19904444444444422,0.3377777777777778,0.9979761904761902
220,0.1960888888888888,0.3288888888888889,0.9960714285714287
230,0.1978222222222221,0.3377777777777778,0.9970238095238096
240,0.19920000000000004,0.3111111111111111,0.9840476190476188
250,0.1991777777777778,0.3111111111111111,0.9948809523809523
260,0.19802222222222227,0.35555555555555557,0.9976190476190474
270,0.1963555555555557,0.32,0.9945238095238093
280,0.2005555555555554,0.3377777777777778,0.9963095238095235
290,0.1965555555555555,0.3377777777777778,0.9978571428571428
300,0.19282222222222212,0.32,0.9974999999999999
310,0.20562222222222215,0.35555555555555557,0.9966666666666667
320,0.19475555555555546,0.36444444444444446,0.995357142857143
330,0.200511111111111,0.3466666666666667,0.9980952380952379
340,0.20677777777777778,0.3466666666666667,0.9984523809523809
350,0.2180888888888889,0.35555555555555557,0.9945238095238096
360,0.19837777777777799,0.3288888888888889,0.9971428571428571
370,0.19631111111111108,0.32,0.9964285714285713
380,0.19595555555555536,0.3288888888888889,0.9977380952380951
390,0.2011333333333333,0.3288888888888889,0.990595238095238
400,0.20382222222222204,0.3377777777777778,0.9976190476190474
410,0.19637777777777768,0.3377777777777778,0.9967857142857142
420,0.20062222222222237,0.3466666666666667,0.9949999999999999
430,0.1997333333333332,0.32,0.9978571428571428
440,0.19242222222222222,0.37333333333333335,0.9974999999999999
450,0.19444444444444473,0.3377777777777778,0.9948809523809523
460,0.1981333333333333,0.3288888888888889,0.9985714285714284
470,0.20055555555555582,0.3111111111111111,0.9947619047619046
480,0.19048888888888893,0.3111111111111111,0.9960714285714284
490,0.19266666666666638,0.3288888888888889,0.9984523809523808
500,0.1976222222222221,0.3377777777777778,0.9963095238095239
