generation,meanFitness,bestFitness,diversity
0,0.1752888888888888,0.28444444444444444,0.9972619047619048
10,0.19506666666666653,0.29333333333333333,0.9965476190476192
20,0.1967333333333332,0.3466666666666667,0.9961904761904762
30,0.20215555555555575,0.37333333333333335,0.9972619047619047
40,0.1899777777777777,0.3377777777777778,0.997738095238095
50,0.19611111111111101,0.32,0.9973809523809523
60,0.1942666666666667,0.32,0.9969047619047616
70,0.20926666666666635,0.3466666666666667,0.9982142857142856
80,0.19999999999999996,0.36444444444444446,0.9989285714285712
90,0.20082222222222204,0.35555555555555557,0.9973809523809521
100,0.2073111111111114,0.3288888888888889,0.9958333333333332
110,0.22244444444444464,0.3377777777777778,0.9948809523809523
120,0.20677777777777778,0.39111111111111113,0.9915476190476188
130,0.20706666666666668,0.3288888888888889,0.9964285714285713
140,0.20220000000000013,0.3466666666666667,0.9965476190476188
150,0.19133333333333344,0.35555555555555557,0.9970238095238095
160,0.19493333333333326,0.3377777777777778,0.9965476190476192
170,0.1902666666666668,0.3022222222222222,0.9969047619047618
180,0.1919999999999999,0.3377777777777778,0.9961904761904762
190,0.20531111111111117,0.35555555555555557,0.9984523809523809
200,0.19406666666666667,0.35555555555555557,0.9972619047619047
210,0.2071999999999999,0.3466666666666667,0.9974999999999998
220,0.20631111111111136,0.36444444444444446,0.9979761904761905
230,0.20008888888888876,0.3466666666666667,0.9976190476190474
240,0.19788888888888903,0.3111111111111111,0.9946428571428572
250,0.19319999999999987,0.3111111111111111,0.9980952380952381
260,0.20808888888888893,0.39111111111111113,0.994404761904762
270,0.1975111111111112,0.3377777777777778,0.9967857142857142
280,0.19795555555555563,0.3377777777777778,0.9972619047619047
290,0.19971111111111114,0.3377777777777778,0.9958333333333332
300,0.19339999999999996,0.29333333333333333,0.9980952380952377
310,0.19680000000000003,0.3466666666666667,0.9976190476190474
320,0.19479999999999995,0.32,0.9980952380952381
330,0.20577777777777773,0.37333333333333335,0.9967857142857142
340,0.2182444444444444,0.4088888888888889,0.9914285714285714
350,0.20168888888888908,0.38222222222222224,0.9967857142857144
360,0.2055555555555556,0.36444444444444446,0.9972619047619047
370,0.20102222222222213,0.3377777777777778,0.9966666666666665
380,0.20446666666666669,0.35555555555555557,0.9969047619047616
390,0.20013333333333347,0.3466666666666667,0.9980952380952381
400,0.19637777777777793,0.32,0.9967857142857142
410,0.19944444444444456,0.3466666666666667,0.9967857142857142
420,0.20348888888888894,0.32,0.9973809523809523
430,0.19613333333333346,0.3466666666666667,0.9951190476190476
440,0.1930222222222222,0.3466666666666667,0.9976190476190474
450,0.20233333333333317,0.3288888888888889,0.9953571428571429
460,0.19826666666666656,0.32,0.9977380952380951
470,0.20166666666666674,0.32,0.9974999999999998
480,0.19526666666666667,0.3377777777777778,0.9969047619047618
490,0.1973111111111111,0.4088888888888889,0.9979761904761902
500,0.19842222222222225,0.3466666666666667,0.9974999999999998
