generation,meanFitness,bestFitness,diversity
0,0.17719999999999989,0.32,0.9970238095238095
10,0.1950444444444444,0.35555555555555557,0.9977380952380951
20,0.1910666666666667,0.32,0.9983333333333331
30,0.20144444444444448,0.39111111111111113,0.9951190476190475
40,0.20566666666666694,0.3111111111111111,0.9958333333333332
50,0.20502222222222216,0.32,0.9985714285714284
60,0.19393333333333318,0.3377777777777778,0.9980952380952381
70,0.2038666666666668,0.3377777777777778,0.997142857142857
80,0.19860000000000003,0.36444444444444446,0.9944047619047616
90,0.20137777777777793,0.35555555555555557,0.9899999999999999
100,0.19933333333333336,0.3466666666666667,0.9905952380952382
110,0.2002222222222222,0.36444444444444446,0.9965476190476188
120,0.20646666666666658,0.35555555555555557,0.9976190476190478
130,0.21648888888888876,0.3466666666666667,0.9960714285714285
140,0.20806666666666665,0.3288888888888889,0.9920238095238094
150,0.20193333333333335,0.32,0.9980952380952381
160,0.197622222222222,0.3466666666666667,0.9977380952380951
170,0.19966666666666685,0.3466666666666667,0.9973809523809521
180,0.2066666666666666,0.39111111111111113,0.9972619047619048
190,0.20642222222222223,0.3466666666666667,0.9964285714285713
200,0.19508888888888884,0.3466666666666667,0.9974999999999998
210,0.20864444444444455,0.36444444444444446,0.9974999999999998
220,0.20577777777777778,0.3288888888888889,0.9961904761904762
230,0.20888888888888896,0.35555555555555557,0.9947619047619046
240,0.2037777777777778,0.3111111111111111,0.9979761904761905
250,0.20891111111111127,0.3377777777777778,0.9864285714285714
260,0.21228888888888886,0.35555555555555557,0.9983333333333333
270,0.20551111111111126,0.35555555555555557,0.9929761904761906
280,0.20791111111111119,0.3377777777777778,0.9977380952380951
290,0.1951777777777776,0.3466666666666667,0.9935714285714285
300,0.19824444444444453,0.3111111111111111,0.9977380952380951
310,0.20955555555555552,0.3288888888888889,0.9977380952380953
320,0.197911111111111,0.3111111111111111,0.9971428571428571
330,0.19231111111111104,0.3377777777777778,0.9959523809523809
340,0.19004444444444438,0.36444444444444446,0.9967857142857142
350,0.19999999999999993,0.3466666666666667,0.9979761904761905
360,0.20977777777777773,0.32,0.996904761904762
370,0.19804444444444436,0.36444444444444446,0.9980952380952377
380,0.20526666666666663,0.35555555555555557,0.9966666666666668
390,0.21173333333333333,0.39111111111111113,0.9957142857142858
400,0.19893333333333338,0.3377777777777778,0.9982142857142856
410,0.19231111111111104,0.3022222222222222,0.9976190476190474
420,0.2101555555555554,0.35555555555555557,0.997857142857143
430,0.1990222222222223,0.35555555555555557,0.9980952380952379
440,0.1989777777777778,0.36444444444444446,0.9978571428571428
450,0.20155555555555552,0.37333333333333335,0.9972619047619045
460,0.20162222222222215,0.37333333333333335,0.9963095238095236
470,0.19724444444444433,0.3111111111111111,0.9978571428571426
480,0.19179999999999992,0.3111111111111111,0.9969047619047618
490,0.19586666666666663,0.36444444444444446,0.9965476190476188
500,0.19628888888888898,0.3466666666666667,0.9976190476190474
