generation,meanFitness,bestFitness,diversity
0,0.17719999999999989,0.32,0.9970238095238095
10,0.1950444444444444,0.35555555555555557,0.9977380952380951
20,0.1994888888888889,0.3288888888888889,0.9974999999999998
30,0.2096888888888888,0.4266666666666667,0.9955952380952379
40,0.20371111111111115,0.36444444444444446,0.9966666666666665
50,0.19679999999999986,0.3377777777777778,0.9976190476190474
60,0.19924444444444445,0.3466666666666667,0.9969047619047618
70,0.2027333333333335,0.36444444444444446,0.9973809523809523
80,0.19528888888888865,0.32,0.9947619047619046
90,0.1973111111111111,0.3377777777777778,0.9972619047619048
100,0.21439999999999984,0.39111111111111113,0.9971428571428571
110,0.20491111111111113,0.37333333333333335,0.9961904761904762
120,0.19942222222222203,0.3377777777777778,0.9973809523809523
130,0.200088888888889,0.3288888888888889,0.9970238095238095
140,0.19277777777777774,0.32,0.9977380952380953
150,0.1970444444444447,0.3288888888888889,0.9970238095238095
160,0.21695555555555554,0.36444444444444446,0.9966666666666665
170,0.21782222222222244,0.3466666666666667,0.9924999999999997
180,0.20311111111111088,0.3466666666666667,0.993452380952381
190,0.19506666666666675,0.32,0.9982142857142854
200,0.20213333333333328,0.32,0.9984523809523811
210,0.20862222222222243,0.36444444444444446,0.9965476190476188
220,0.19924444444444445,0.38222222222222224,0.9960714285714285
230,0.21060000000000006,0.37333333333333335,0.9942857142857141
240,0.1996222222222221,0.35555555555555557,0.9970238095238095
250,0.1908444444444443,0.3022222222222222,0.9948809523809524
260,0.19637777777777793,0.3288888888888889,0.9964285714285712
270,0.19959999999999975,0.3466666666666667,0.9977380952380951
280,0.21177777777777784,0.37333333333333335,0.9959523809523809
290,0.1983777777777779,0.3466666666666667,0.9970238095238095
300,0.202577777777778,0.38222222222222224,0.991785714285714
310,0.2075999999999999,0.37333333333333335,0.9976190476190474
320,0.19928888888888885,0.35555555555555557,0.9973809523809523
330,0.20462222222222234,0.3466666666666667,0.9961904761904758
340,0.2062666666666668,0.32,0.9972619047619047
350,0.20942222222222245,0.3466666666666667,0.9939285714285713
360,0.19939999999999994,0.3377777777777778,0.9974999999999998
370,0.19071111111111105,0.3288888888888889,0.9967857142857144
380,0.19199999999999995,0.29333333333333333,0.9980952380952381
390,0.19391111111111103,0.32,0.9971428571428571
400,0.1952888888888889,0.35555555555555557,0.9980952380952379
410,0.19104444444444432,0.3377777777777778,0.9984523809523808
420,0.20244444444444443,0.3377777777777778,0.9984523809523808
430,0.1942222222222224,0.32,0.9970238095238095
440,0.1999555555555557,0.3377777777777778,0.9957142857142856
450,0.1968444444444444,0.3466666666666667,0.9974999999999998
460,0.19871111111111117,0.3377777777777778,0.9960714285714284
470,0.19622222222222216,0.32,0.9885714285714284
480,0.19504444444444435,0.3377777777777778,0.9977380952380951
490,0.19351111111111105,0.3111111111111111,0.9971428571428571
500,0.19282222222222234,0.3377777777777778,0.9985714285714284
