generation,meanFitness,bestFitness,diversity
0,0.645625,0.7430555555555556,0.8612068965517242
10,0.7515972222222218,0.8194444444444444,0.7758620689655171
20,0.7922048611111111,0.8680555555555556,0.7508620689655173
30,0.8188368055555562,0.8958333333333334,0.7431034482758622
40,0.837899305555557,0.9027777777777778,0.664655172413793
50,0.8501215277777774,0.9375,0.7181034482758621
60,0.8616840277777783,0.9375,0.6827586206896552
70,0.8657986111111119,0.9444444444444444,0.6422413793103449
80,0.8696875000000003,0.9375,0.7267241379310345
90,0.8756770833333322,0.9305555555555556,0.5922413793103447
100,0.8751215277777772,0.9513888888888888,0.6724137931034484
110,0.8827951388888896,0.9375,0.6387931034482759
120,0.8796527777777776,0.9444444444444444,0.7413793103448273
130,0.8792187499999998,0.9583333333333334,0.7224137931034483
140,0.8765798611111102,0.9375,0.7232758620689655
150,0.8739236111111108,0.9513888888888888,0.7068965517241381
160,0.879131944444445,0.9513888888888888,0.6844827586206897
170,0.8810590277777774,0.9375,0.685344827586207
180,0.8817534722222213,0.9375,0.6646551724137931
190,0.8830555555555558,0.9513888888888888,0.7267241379310345
200,0.8814062500000008,0.9444444444444444,0.6620689655172414
210,0.8797395833333332,0.9444444444444444,0.7060344827586207
220,0.8871006944444448,0.9583333333333334,0.7112068965517241
230,0.8806597222222226,0.9444444444444444,0.731896551724138
240,0.8817013888888892,0.9513888888888888,0.6827586206896552
250,0.8841666666666654,0.9444444444444444,0.663793103448276
260,0.8894270833333335,0.9583333333333334,0.7051724137931036
270,0.883298611111111,0.9513888888888888,0.7068965517241379
280,0.8827604166666672,0.9583333333333334,0.6491379310344829
290,0.8834201388888886,0.9583333333333334,0.7267241379310345
300,0.8870833333333333,0.9444444444444444,0.6775862068965518
310,0.8824826388888899,0.9513888888888888,0.6672413793103449
320,0.8887500000000002,0.9375,0.6568965517241379
330,0.8841666666666663,0.9375,0.6431034482758622
340,0.8861631944444447,0.9513888888888888,0.6525862068965518
350,0.8880902777777784,0.9722222222222222,0.7172413793103448
360,0.8878125000000009,0.9444444444444444,0.6577586206896552
370,0.8862326388888881,0.9444444444444444,0.5862068965517242
380,0.8866840277777781,0.9652777777777778,0.6905172413793104
390,0.887100694444444,0.9652777777777778,0.7612068965517241
400,0.8867187500000001,0.9513888888888888,0.7172413793103448
410,0.8893055555555552,0.9722222222222222,0.6568965517241379
420,0.887065972222222,0.9513888888888888,0.6724137931034483
430,0.887291666666667,0.9583333333333334,0.6327586206896553
440,0.8926041666666669,0.9583333333333334,0.6948275862068964
450,0.8848263888888895,0.9583333333333334,0.6853448275862069
460,0.8865104166666664,0.9444444444444444,0.6413793103448275
470,0.8924305555555538,0.9722222222222222,0.6172413793103448
480,0.8897048611111116,0.9513888888888888,0.6301724137931034
490,0.8832986111111107,0.9722222222222222,0.6620689655172413
500,0.8896875,0.9583333333333334,0.6568965517241381
