generation,meanFitness,bestFitness,diversity
0,0.17271111111111095,0.27555555555555555,0.6368321087996678
10,0.19706666666666664,0.3111111111111111,0.6172956395102269
20,0.20348888888888875,0.37333333333333335,0.6157446182890812
30,0.20046666666666668,0.3377777777777778,0.597649779835605
40,0.1963777777777777,0.3466666666666667,0.6162719770334435
50,0.19908888888888893,0.3288888888888889,0.6279634596196496
60,0.20366666666666663,0.4,0.6200729084721035
70,0.21111111111111103,0.37333333333333335,0.6226526636610508
80,0.19686666666666688,0.3466666666666667,0.6122361259892417
90,0.20597777777777806,0.36444444444444446,0.6216096711800299
100,0.20584444444444422,0.3377777777777778,0.5804615432145761
110,0.20453333333333337,0.37333333333333335,0.627471149808056
120,0.19753333333333337,0.3111111111111111,0.6096452960342705
130,0.1960222222222222,0.3111111111111111,0.6064344139973532
140,0.19853333333333345,0.32,0.6311974747383738
150,0.19500000000000006,0.3377777777777778,0.6189008865961002
160,0.2019555555555554,0.36444444444444446,0.5953230769525348
170,0.20797777777777768,0.3466666666666667,0.5922093246493296
180,0.20066666666666688,0.36444444444444446,0.626276871248858
190,0.19842222222222225,0.3288888888888889,0.6272782015577245
200,0.20346666666666663,0.36444444444444446,0.6138838609449062
210,0.19857777777777763,0.35555555555555557,0.616698747541595
220,0.19728888888888874,0.3377777777777778,0.5880301050929372
230,0.1978444444444446,0.3288888888888889,0.6242034294824453
240,0.19635555555555537,0.38222222222222224,0.6131101218351415
250,0.20402222222222213,0.36444444444444446,0.6110536726912292
260,0.20451111111111117,0.37333333333333335,0.6206014058347475
270,0.19913333333333333,0.3377777777777778,0.6056778734019815
280,0.20228888888888893,0.3022222222222222,0.6077488453852229
290,0.20339999999999991,0.32,0.6077498741376341
300,0.19622222222222235,0.3466666666666667,0.6032212870904108
310,0.19499999999999992,0.3288888888888889,0.5974372678551635
320,0.1960444444444445,0.3111111111111111,0.622626147315338
330,0.2046666666666666,0.35555555555555557,0.6254236350251541
340,0.20284444444444438,0.3377777777777778,0.6031696400161394
350,0.2068000000000001,0.35555555555555557,0.6016852257682361
360,0.20217777777777773,0.3466666666666667,0.633682543963215
370,0.19633333333333333,0.3466666666666667,0.627901315486504
380,0.1970444444444444,0.3288888888888889,0.624838156101329
390,0.20059999999999983,0.3377777777777778,0.5964119657645438
400,0.2019777777777777,0.3288888888888889,0.6099699947317785
410,0.20953333333333346,0.3466666666666667,0.6320275893269609
420,0.20553333333333368,0.38222222222222224,0.5962670898362453
430,0.19471111111111125,0.37333333333333335,0.6166021554464837
440,0.19646666666666676,0.3377777777777778,0.6124274311304021
450,0.1976222222222223,0.32,0.6099568786382401
460,0.19975555555555582,0.3377777777777778,0.6229815960032752
470,0.1988666666666665,0.36444444444444446,0.6353298103003068
480,0.2002222222222223,0.3377777777777778,0.6202363215375964
490,0.20080000000000006,0.3111111111111111,0.6126580114327458
500,0.19791111111111107,0.35555555555555557,0.6190766015792102
