generation,meanFitness,bestFitness,diversity
0,0.17271111111111095,0.27555555555555555,0.6368321087996678
10,0.19706666666666664,0.3111111111111111,0.6172956395102269
20,0.1964444444444441,0.3466666666666667,0.6152840782429079
30,0.20404444444444447,0.35555555555555557,0.6113241235153482
40,0.1978888888888889,0.3288888888888889,0.5978634454025749
50,0.19737777777777776,0.36444444444444446,0.6039261482547367
60,0.19877777777777786,0.35555555555555557,0.5713611270239217
70,0.19026666666666656,0.3377777777777778,0.6134532637800605
80,0.19084444444444426,0.3377777777777778,0.6193824654357485
90,0.1926444444444444,0.3111111111111111,0.6236941518215197
100,0.19755555555555554,0.35555555555555557,0.6146370364022522
110,0.1900444444444446,0.3111111111111111,0.6190547833780122
120,0.2047111111111112,0.3466666666666667,0.6161774660018474
130,0.1957555555555555,0.3288888888888889,0.6064916957041582
140,0.1941333333333334,0.35555555555555557,0.6240263404670099
150,0.20108888888888898,0.3466666666666667,0.6093764080933014
160,0.19200000000000003,0.3466666666666667,0.6270949770541121
170,0.1960888888888887,0.3111111111111111,0.5937882016376721
180,0.19984444444444457,0.32,0.6035159750567859
190,0.19655555555555554,0.36444444444444446,0.6121881362772432
200,0.1947111111111111,0.3377777777777778,0.596482009700637
210,0.1924666666666668,0.3377777777777778,0.6271416939428788
220,0.197422222222222,0.32,0.5941382642597772
230,0.20022222222222222,0.38222222222222224,0.6220903608098581
240,0.19799999999999993,0.3377777777777778,0.6116560770578087
250,0.1986666666666667,0.35555555555555557,0.6034396235374062
260,0.20017777777777773,0.3288888888888889,0.5919875298705201
270,0.1948222222222221,0.3466666666666667,0.620284733433459
280,0.19626666666666653,0.3111111111111111,0.6287789282573734
290,0.19395555555555555,0.3466666666666667,0.6185444074797739
300,0.1915555555555554,0.3111111111111111,0.6181618326752284
310,0.19933333333333333,0.3111111111111111,0.6031581170467901
320,0.18924444444444435,0.3377777777777778,0.6078155194719218
330,0.19557777777777796,0.37333333333333335,0.6229279883312258
340,0.19626666666666673,0.32,0.5835267691934944
350,0.19966666666666671,0.3466666666666667,0.600671748884442
360,0.20422222222222214,0.3111111111111111,0.6335763893108773
370,0.19995555555555566,0.32,0.6310719827493888
380,0.20237777777777766,0.35555555555555557,0.601052086189161
390,0.19511111111111099,0.3022222222222222,0.565340733170849
400,0.19804444444444427,0.35555555555555557,0.6105704282684681
410,0.19773333333333326,0.3022222222222222,0.6066925242206241
420,0.1924,0.32,0.5750157680773776
430,0.19326666666666661,0.3377777777777778,0.5996219851649321
440,0.19417777777777775,0.3288888888888889,0.6148200342102099
450,0.20300000000000004,0.35555555555555557,0.6209339077098679
460,0.20508888888888904,0.4088888888888889,0.6165086706198354
470,0.19779999999999998,0.36444444444444446,0.6229166287072666
480,0.19051111111111105,0.3288888888888889,0.6201224723581975
490,0.2002888888888888,0.3288888888888889,0.6163260555894651
500,0.19804444444444438,0.3288888888888889,0.618160592305206
