generation,meanFitness,bestFitness,diversity
0,0.17655555555555538,0.29333333333333333,0.6407518405847992
10,0.1917777777777778,0.3111111111111111,0.639139692546731
20,0.19071111111111125,0.32,0.6294648501586306
30,0.19106666666666683,0.3466666666666667,0.619957042214349
40,0.20815555555555537,0.4177777777777778,0.6315380853674298
50,0.20486666666666678,0.36444444444444446,0.6388636124631071
60,0.21135555555555552,0.38222222222222224,0.6076863496951947
70,0.20346666666666685,0.3466666666666667,0.59580665159886
80,0.20062222222222212,0.3288888888888889,0.6295357845402474
90,0.20319999999999996,0.3377777777777778,0.61174713842284
100,0.19871111111111125,0.3288888888888889,0.5900394319013277
110,0.1928222222222223,0.3466666666666667,0.5993859362762046
120,0.1955333333333333,0.32,0.606834561068555
130,0.2067111111111111,0.35555555555555557,0.5853967036495806
140,0.19820000000000004,0.3466666666666667,0.5861434457536985
150,0.2062222222222222,0.37333333333333335,0.5873326811100469
160,0.20915555555555557,0.38222222222222224,0.5923831374764716
170,0.20311111111111121,0.37333333333333335,0.6328461857262193
180,0.19582222222222245,0.38222222222222224,0.612469102993948
190,0.1992000000000001,0.3022222222222222,0.6198749595023181
200,0.19091111111111114,0.32,0.6306584886955204
210,0.19500000000000003,0.35555555555555557,0.6293540536418407
220,0.1964444444444445,0.3288888888888889,0.6047961980952967
230,0.19584444444444443,0.3288888888888889,0.6201035758856557
240,0.19833333333333314,0.3288888888888889,0.6186038823994748
250,0.20388888888888893,0.3377777777777778,0.612001274825108
260,0.19426666666666642,0.3466666666666667,0.6271318617892206
270,0.19431111111111118,0.3288888888888889,0.588091631736092
280,0.19575555555555554,0.3111111111111111,0.6207538206939425
290,0.1980888888888891,0.3466666666666667,0.6163832264673618
300,0.19219999999999995,0.3288888888888889,0.6182889570706604
310,0.1949333333333332,0.3288888888888889,0.6001107197579095
320,0.19391111111111112,0.32,0.6029347153331006
330,0.19804444444444438,0.3466666666666667,0.6215281363500446
340,0.19311111111111134,0.3466666666666667,0.6102613803269006
350,0.19879999999999995,0.3111111111111111,0.6320793764188443
360,0.20162222222222229,0.3377777777777778,0.6101152759263113
370,0.19479999999999983,0.3111111111111111,0.6276451302996839
380,0.1948444444444445,0.3466666666666667,0.5925889083816316
390,0.19608888888888895,0.3377777777777778,0.5969682327239825
400,0.19533333333333353,0.32,0.6105717298327743
410,0.19566666666666652,0.3466666666666667,0.6072287245353152
420,0.20297777777777778,0.3466666666666667,0.62371884710567
430,0.194088888888889,0.3377777777777778,0.6313355473916877
440,0.20631111111111097,0.38222222222222224,0.6111160872123751
450,0.2036888888888889,0.38222222222222224,0.6125696130228069
460,0.20153333333333331,0.36444444444444446,0.6086251990695747
470,0.20166666666666697,0.4,0.606661575376841
480,0.19579999999999972,0.3466666666666667,0.6318448172226885
490,0.19546666666666684,0.3111111111111111,0.6096333981983035
500,0.19711111111111124,0.32,0.6339125033819035
