generation,meanFitness,bestFitness,diversity
0,0.17271111111111095,0.27555555555555555,0.6368321087996678
10,0.19706666666666664,0.3111111111111111,0.6172956395102269
20,0.20148888888888877,0.3288888888888889,0.619318235509119
30,0.19306666666666683,0.3111111111111111,0.5908871448916098
40,0.19382222222222226,0.3377777777777778,0.607600385043291
50,0.19497777777777783,0.3377777777777778,0.618871445517317
60,0.19357777777777774,0.3377777777777778,0.5997764012453448
70,0.19833333333333325,0.32,0.6069798497033803
80,0.1978222222222221,0.35555555555555557,0.631296205208759
90,0.1918222222222224,0.37333333333333335,0.6269033829936815
100,0.19893333333333324,0.3288888888888889,0.5956112026445913
110,0.1970666666666667,0.3377777777777778,0.6112435204851491
120,0.20482222222222218,0.3288888888888889,0.6026849458903498
130,0.2022444444444445,0.3288888888888889,0.6017780933182039
140,0.19422222222222227,0.39111111111111113,0.6250174844419133
150,0.20240000000000002,0.3466666666666667,0.612240412109499
160,0.19411111111111104,0.3288888888888889,0.6236170093701707
170,0.19715555555555542,0.3377777777777778,0.5892836617304749
180,0.1977333333333332,0.3466666666666667,0.6031945563852832
190,0.19540000000000002,0.3466666666666667,0.6145176830782146
200,0.2006666666666666,0.3111111111111111,0.5932585983885775
210,0.2026,0.36444444444444446,0.6030165231130123
220,0.1978000000000001,0.3377777777777778,0.6122443791545387
230,0.1917333333333332,0.3288888888888889,0.6196454968767665
240,0.19648888888888907,0.3111111111111111,0.6404034741982559
250,0.19713333333333338,0.39111111111111113,0.6182647356399925
260,0.19804444444444458,0.3377777777777778,0.6146906864534825
270,0.19366666666666657,0.3111111111111111,0.6023379333819185
280,0.20162222222222223,0.3288888888888889,0.6210271859478027
290,0.20573333333333313,0.3466666666666667,0.6171325032948324
300,0.2008888888888888,0.3377777777777778,0.6195239042133769
310,0.19828888888888885,0.37333333333333335,0.6051797273321394
320,0.1958444444444444,0.3377777777777778,0.6327577455288215
330,0.19364444444444437,0.3022222222222222,0.60873646804034
340,0.20611111111111094,0.37333333333333335,0.5546035052223711
350,0.20446666666666682,0.36444444444444446,0.5907495874089898
360,0.19906666666666656,0.3288888888888889,0.62769448321993
370,0.19953333333333323,0.32,0.6253023951906161
380,0.19677777777777763,0.3466666666666667,0.6174186738951514
390,0.1949333333333333,0.3022222222222222,0.6169695508437851
400,0.20151111111111106,0.36444444444444446,0.6214703811467168
410,0.197977777777778,0.3377777777777778,0.6173069675346461
420,0.19257777777777782,0.3022222222222222,0.5766928363673468
430,0.19400000000000003,0.3466666666666667,0.6047491747720009
440,0.20077777777777783,0.35555555555555557,0.618665958260114
450,0.2028444444444447,0.36444444444444446,0.6316833172451664
460,0.20040000000000016,0.36444444444444446,0.621804261953721
470,0.20706666666666657,0.37333333333333335,0.6308225622160993
480,0.19071111111111086,0.3288888888888889,0.5996124286242008
490,0.20206666666666678,0.32,0.6088942291803392
500,0.20004444444444439,0.3466666666666667,0.6048653340300865
